Successful to build network!
load pretrained model successful!
STN loaded
Epoch:1 || epochiter: 960/2835|| Totel iter 960 || Loss: 0.1948||Batch time: 0.0534 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 980/2835|| Totel iter 980 || Loss: 0.2414||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1000/2835|| Totel iter 1000 || Loss: 0.2817||Batch time: 0.0514 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1020/2835|| Totel iter 1020 || Loss: 0.2243||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1040/2835|| Totel iter 1040 || Loss: 0.1982||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1060/2835|| Totel iter 1060 || Loss: 0.3468||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1080/2835|| Totel iter 1080 || Loss: 0.2431||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1100/2835|| Totel iter 1100 || Loss: 0.2751||Batch time: 0.0583 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1120/2835|| Totel iter 1120 || Loss: 0.2313||Batch time: 0.0529 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1140/2835|| Totel iter 1140 || Loss: 0.2644||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1160/2835|| Totel iter 1160 || Loss: 0.2413||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1180/2835|| Totel iter 1180 || Loss: 0.2744||Batch time: 0.0514 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1200/2835|| Totel iter 1200 || Loss: 0.3119||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1220/2835|| Totel iter 1220 || Loss: 0.1634||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1240/2835|| Totel iter 1240 || Loss: 0.1827||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1260/2835|| Totel iter 1260 || Loss: 0.2315||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1280/2835|| Totel iter 1280 || Loss: 0.2117||Batch time: 0.0522 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1300/2835|| Totel iter 1300 || Loss: 0.1621||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1320/2835|| Totel iter 1320 || Loss: 0.2200||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1340/2835|| Totel iter 1340 || Loss: 0.2297||Batch time: 0.0532 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1360/2835|| Totel iter 1360 || Loss: 0.2839||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1380/2835|| Totel iter 1380 || Loss: 0.1848||Batch time: 0.0598 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1400/2835|| Totel iter 1400 || Loss: 0.1579||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1420/2835|| Totel iter 1420 || Loss: 0.2013||Batch time: 0.0521 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1440/2835|| Totel iter 1440 || Loss: 0.1668||Batch time: 0.0524 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1460/2835|| Totel iter 1460 || Loss: 0.2033||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1480/2835|| Totel iter 1480 || Loss: 0.1652||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1500/2835|| Totel iter 1500 || Loss: 0.1973||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1520/2835|| Totel iter 1520 || Loss: 0.1780||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1540/2835|| Totel iter 1540 || Loss: 0.1292||Batch time: 0.0539 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1560/2835|| Totel iter 1560 || Loss: 0.1531||Batch time: 0.0520 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1580/2835|| Totel iter 1580 || Loss: 0.2465||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1600/2835|| Totel iter 1600 || Loss: 0.2277||Batch time: 0.0537 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1620/2835|| Totel iter 1620 || Loss: 0.2073||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1640/2835|| Totel iter 1640 || Loss: 0.1939||Batch time: 0.0518 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1660/2835|| Totel iter 1660 || Loss: 0.1245||Batch time: 0.0557 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1680/2835|| Totel iter 1680 || Loss: 0.1459||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1700/2835|| Totel iter 1700 || Loss: 0.1555||Batch time: 0.0558 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1720/2835|| Totel iter 1720 || Loss: 0.2324||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1740/2835|| Totel iter 1740 || Loss: 0.1534||Batch time: 0.0553 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1760/2835|| Totel iter 1760 || Loss: 0.1789||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1780/2835|| Totel iter 1780 || Loss: 0.2284||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1800/2835|| Totel iter 1800 || Loss: 0.1153||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1820/2835|| Totel iter 1820 || Loss: 0.1834||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1840/2835|| Totel iter 1840 || Loss: 0.1422||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1860/2835|| Totel iter 1860 || Loss: 0.1598||Batch time: 0.0550 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1880/2835|| Totel iter 1880 || Loss: 0.1792||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1900/2835|| Totel iter 1900 || Loss: 0.1246||Batch time: 0.0560 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1920/2835|| Totel iter 1920 || Loss: 0.1873||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1940/2835|| Totel iter 1940 || Loss: 0.1428||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1960/2835|| Totel iter 1960 || Loss: 0.2812||Batch time: 0.0514 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 1980/2835|| Totel iter 1980 || Loss: 0.1775||Batch time: 0.0615 sec. ||LR: 0.00010000
[Info] Test Accuracy: 0.8061904761904762 [3386:454:360:4200]
[Info] Test Speed: 0.0002229566864325668s 1/4206]
Epoch:1 || epochiter: 2000/2835|| Totel iter 2000 || Loss: 0.1670||Batch time: 0.0496 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2020/2835|| Totel iter 2020 || Loss: 0.1322||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2040/2835|| Totel iter 2040 || Loss: 0.0924||Batch time: 0.0496 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2060/2835|| Totel iter 2060 || Loss: 0.1339||Batch time: 0.0498 sec. ||LR: 0.00010000
